altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0,1,10,Chicago,159,True,K3_FULL,13245,2019-05-16 13:53:51,41.907781,,-87.685854,60622,1451 N Claremont Ave,,Claremont Ave & Hirsch St,IN_SERVICE,1,In Service,False,11
0,6,9,Chicago,160,True,K3_FULL,13257,2019-05-16 13:55:59,41.910535,,-87.689556,60647,Campbell Ave & North Ave,,Campbell Ave & North Ave,IN_SERVICE,1,In Service,False,15
0,7,16,Chicago,161,True,K3_FULL,15530,2019-05-16 13:55:00,41.89576474564,,-87.6259080327,60611,Rush St & Superior St,,Rush St & Superior St,IN_SERVICE,1,In Service,False,23
0,5,10,Chicago,162,True,K3_FULL,13268,2019-05-16 13:54:30,41.93588,,-87.67842,60618,Damen Ave & Wellington Ave,,Damen Ave & Wellington Ave,IN_SERVICE,1,In Service,False,15
0,8,7,Chicago,163,True,K3_FULL,13271,2019-05-16 13:57:17,41.931931,,-87.677856,60614,Damen Ave & Clybourn Ave,,Damen Ave & Clybourn Ave,IN_SERVICE,1,In Service,False,15
0,24,3,Chicago,164,True,K3_FULL,13272,2019-05-16 13:55:45,41.885837,,-87.6355,60606,Franklin St & Lake St,,Franklin St & Lake St,IN_SERVICE,1,In Service,False,27
0,17,5,Chicago,165,True,K3_FULL,13275,2019-05-16 13:55:48,41.95078,,-87.659172,60613,Clark St & Grace St,,Clark St & Grace St,IN_SERVICE,1,In Service,False,23
0,0,15,Chicago,166,True,K3_FULL,13296,2019-05-16 13:58:19,41.92883,,-87.668507,60614,Ashland Ave & Wrightwood Ave,,Ashland Ave & Wrightwood Ave,IN_SERVICE,1,In Service,False,15
0,5,2,Chicago,167,True,K3_FULL,13306,2019-05-16 13:54:41,41.8492,,-87.67564,60608,Damen Ave & Coulter St,,Damen Ave & Coulter St,IN_SERVICE,1,In Service,False,7
0,1,18,Chicago,168,True,K3_FULL,13310,2019-05-16 13:55:36,41.864059,,-87.623727,60605,Michigan Ave & 14th St,,Michigan Ave & 14th St,IN_SERVICE,1,In Service,False,19
0,4,11,Chicago,169,True,K3_FULL,13326,2019-05-16 13:56:51,41.874255,,-87.639573,60607,Canal St & Harrison St,,Canal St & Harrison St,IN_SERVICE,1,In Service,False,15
0,10,5,Chicago,170,True,K3_FULL,13329,2019-05-16 13:53:49,41.85795,,-87.640826,60616,Clinton St & 18th St,,Clinton St & 18th St,IN_SERVICE,1,In Service,False,15
0,4,7,Chicago,171,True,K3_FULL,13331,2019-05-16 13:56:39,41.855136,,-87.654127,60608,May St & Cullerton St,,May St & Cullerton St,IN_SERVICE,1,In Service,False,11
0,1,10,Chicago,172,True,K3_FULL,15525,2019-05-16 13:54:35,41.90230870122,,-87.627690528,60611,Rush St & Cedar St,,Rush St & Cedar St,IN_SERVICE,1,In Service,False,11
0,15,0,Chicago,173,True,K3_FULL,13338,2019-05-16 13:54:57,41.89691,,-87.621743,60611,Mies van der Rohe Way & Chicago Ave,,Mies van der Rohe Way & Chicago Ave,IN_SERVICE,1,In Service,False,15
0,9,26,Chicago,174,True,K3_FULL,13341,2019-05-16 13:54:44,41.882091,,-87.639833,60606,Canal St & Madison St,,Canal St & Madison St,IN_SERVICE,1,In Service,False,35
0,1,17,Chicago,175,True,K3_FULL,13344,2019-05-16 13:57:54,41.872596,,-87.633502,60607,Wells St & Polk St,,Wells St & Polk St,IN_SERVICE,1,In Service,False,19
0,12,25,Chicago,176,True,K3_FULL,13349,2019-05-16 13:57:38,41.902973,,-87.63128,60610,Clark St & Elm St,,Clark St & Elm St,IN_SERVICE,1,In Service,False,38
0,14,13,Chicago,177,True,K3_FULL,13350 ,2019-05-16 13:56:54,41.926277,,-87.630834,60614,Theater on the Lake,,Theater on the Lake,IN_SERVICE,1,In Service,False,31
0,0,15,Chicago,178,True,K3_FULL,13408,2019-05-16 13:55:27,41.856594,,-87.627542,60616,State St & 19th St,,State St & 19th St,IN_SERVICE,1,In Service,False,15
0,3,12,Chicago,179,True,K3_FULL,13420,2019-05-16 13:54:37,41.8246,Off Steet,-87.61678,60653,MLK Jr Dr & Pershing Rd,Formerly MLK Jr Dr & Oakwood Blvd,MLK Jr Dr & Pershing Rd,IN_SERVICE,1,In Service,False,15
0,3,12,Chicago,180,True,K3_FULL,15523,2019-05-16 13:57:05,41.906866,,-87.626217,60610,Ritchie Ct & Banks St,,Ritchie Ct & Banks St,IN_SERVICE,1,In Service,False,15
0,31,0,Chicago,181,True,K3_FULL,13430,2019-05-16 13:56:32,41.890762,On Street,-87.631697,60654,LaSalle St & Illinois St,,LaSalle St & Illinois St,IN_SERVICE,1,In Service,False,31
0,1,22,Chicago,182,True,K3_FULL,15522,2019-05-16 13:54:16,41.903222,,-87.634324,60610,Wells St & Elm St,,Wells St & Elm St,IN_SERVICE,1,In Service,False,23
0,0,23,Chicago,183,True,K3_FULL,13142,2019-05-16 13:57:53,41.901315,,-87.677409,60622,Damen Ave & Thomas St (Augusta Blvd),,Damen Ave & Thomas St (Augusta Blvd),IN_SERVICE,1,In Service,False,23
0,7,12,Chicago,184,True,K3_FULL,13082,2019-05-16 13:55:31,41.8309,,-87.62803,60616,State St & 35th St,,State St & 35th St,IN_SERVICE,1,In Service,False,19
0,1,10,Chicago,185,True,K3_FULL,13266,2019-05-16 13:56:25,41.917741,,-87.691392,60647,Stave St & Armitage Ave,,Stave St & Armitage Ave,IN_SERVICE,1,In Service,False,11
